"ActivityStartDate","ActivityDepthHeightMeasure.MeasureValue","CharacteristicName","ResultMeasureValue"
"1983-08-16",0,"pH",5.96
"1983-08-16",5,"pH",6.51
"1983-08-16",8,"pH",6.47
"1983-08-16",12,"pH",6.5
"1983-08-16",15,"pH",5.7
"1983-08-16",19,"pH",5.44
"1983-09-09",0,"pH",6.29
"1983-09-09",8,"pH",6.14
"1983-09-09",8,"pH",6.05
"1983-09-09",10,"pH",6.12
"1983-09-09",12,"pH",6.13
"1983-09-09",15,"pH",5.58
"1983-09-09",19,"pH",5.33
"1983-09-26",0,"pH",3.84
"1983-09-26",0,"pH",5.65
"1983-09-26",12,"pH",4.97
"1983-09-26",13,"pH",5.52
"1983-09-26",15,"pH",5.08
"1983-09-26",19,"pH",5.09
"1983-10-19",0,"pH",5.87
"1983-10-19",8,"pH",5.69
"1983-10-19",15,"pH",5.62
"1983-10-19",15,"pH",5.59
"1983-10-19",17,"pH",5.57
"1983-10-19",19,"pH",5.34
"1983-11-15",0,"pH",5.94
"1983-11-15",0,"pH",5.85
"1983-11-15",10,"pH",5.82
"1983-11-15",19,"pH",5.83
"1984-01-05",0,"pH",5.82
"1984-01-05",12,"pH",5.7
"1984-01-05",12,"pH",5.76
"1984-01-05",19,"pH",5.33
"1984-02-29",0,"pH",5.88
"1984-02-29",0,"pH",5.83
"1984-02-29",10,"pH",5.66
"1984-02-29",19,"pH",5.25
"1984-04-12",0,"pH",5.69
"1984-04-12",10,"pH",5.81
"1984-04-12",10,"pH",5.81
"1984-04-12",19,"pH",5.08
"1984-04-25",0,"pH",5.83
"1984-04-25",10,"pH",5.83
"1984-04-25",15,"pH",5.82
"1984-04-25",19,"pH",5.81
"1984-05-08",0,"pH",6.02
"1984-05-08",0,"pH",5.94
"1984-05-08",10,"pH",6.06
"1984-05-08",18,"pH",5.77
"1984-05-23",0,"pH",6.08
"1984-05-23",3,"pH",6.06
"1984-05-23",5,"pH",6.29
"1984-05-23",8,"pH",6.34
"1984-05-23",8,"pH",6.3
"1984-05-23",15,"pH",5.85
"1984-05-23",19,"pH",5.67
"1984-06-07",0,"pH",6.33
"1984-06-07",3,"pH",6.32
"1984-06-07",5,"pH",6.33
"1984-06-07",10,"pH",6.45
"1984-06-07",10,"pH",6.4
"1984-06-07",15,"pH",6.13
"1984-06-07",19,"pH",5.79
"1984-06-18",0,"pH",6.05
"1984-06-18",5,"pH",6.01
"1984-06-18",8,"pH",6.29
"1984-06-18",10,"pH",6.27
"1984-06-18",10,"pH",6.24
"1984-06-18",15,"pH",5.88
"1984-06-18",19,"pH",5.64
"1984-07-04",0,"pH",6.21
"1984-07-04",5,"pH",6.24
"1984-07-04",8,"pH",6.39
"1984-07-04",10,"pH",6.49
"1984-07-04",10,"pH",6.52
"1984-07-04",15,"pH",6.16
"1984-07-04",19,"pH",5.81
"1984-07-18",0,"pH",6.28
"1984-07-18",0,"pH",6.21
"1984-07-18",5,"pH",6.28
"1984-07-18",8,"pH",6.21
"1984-07-18",12,"pH",6.41
"1984-07-18",15,"pH",6.05
"1984-07-18",19,"pH",5.6
"1984-07-30",0,"pH",6.55
"1984-07-30",0,"pH",6.39
"1984-07-30",5,"pH",6.33
"1984-07-30",10,"pH",6.48
"1984-07-30",12,"pH",6.55
"1984-07-30",15,"pH",5.94
"1984-07-30",19,"pH",5.62
"1984-08-13",0,"pH",6.37
"1984-08-13",0,"pH",6.26
"1984-08-13",5,"pH",6.33
"1984-08-13",10,"pH",6.46
"1984-08-13",12,"pH",6.32
"1984-08-13",15,"pH",5.9
"1984-08-13",19,"pH",5.49
"1984-09-05",0,"pH",6.33
"1984-09-05",8,"pH",6.27
"1984-09-05",12,"pH",6.3
"1984-09-05",12,"pH",6.29
"1984-09-05",15,"pH",5.67
"1984-09-05",17,"pH",5.51
"1984-09-05",19,"pH",5.47
"1984-09-27",0,"pH",6.14
"1984-09-27",12,"pH",6.02
"1984-09-27",12,"pH",6.09
"1984-09-27",13,"pH",5.91
"1984-09-27",15,"pH",5.54
"1984-09-27",17,"pH",5.54
"1984-09-27",19,"pH",5.56
"1984-10-16",0,"pH",6.01
"1984-10-16",8,"pH",5.98
"1984-10-16",14,"pH",5.51
"1984-10-16",15,"pH",5.5
"1984-10-16",15,"pH",5.51
"1984-10-16",17,"pH",5.81
"1984-10-16",19,"pH",5.96
"1984-11-06",0,"pH",5.89
"1984-11-06",10,"pH",5.88
"1984-11-06",19,"pH",5.88
"1984-11-06",19,"pH",5.87
"1985-01-10",0,"pH",6.06
"1985-01-10",0,"pH",6.01
"1985-01-10",10,"pH",5.82
"1985-01-10",19,"pH",5.52
"1985-02-28",0.5,"pH",6.04
"1985-02-28",10,"pH",5.67
"1985-02-28",19,"pH",5.32
"1985-02-28",19,"pH",5.3
"1985-03-28",0.5,"pH",6.26
"1985-03-28",10,"pH",5.48
"1985-03-28",19,"pH",5.11
"1985-03-28",19,"pH",5.08
"1985-05-01",0,"pH",5.78
"1985-05-01",10,"pH",5.73
"1985-05-01",10,"pH",5.73
"1985-05-01",19,"pH",5.51
"1985-05-15",0,"pH",6.31
"1985-05-15",3,"pH",6.66
"1985-05-15",5,"pH",6.55
"1985-05-15",8,"pH",6.47
"1985-05-15",8,"pH",6.45
"1985-05-15",14,"pH",5.82
"1985-05-15",19,"pH",5.59
"1985-05-29",0,"pH",6.29
"1985-05-29",5,"pH",6.48
"1985-05-29",7,"pH",6.59
"1985-05-29",9,"pH",6.51
"1985-05-29",9,"pH",6.44
"1985-05-29",15,"pH",5.73
"1985-05-29",19,"pH",5.58
"1985-06-12",0,"pH",6.32
"1985-06-12",5,"pH",6.22
"1985-06-12",8,"pH",6.4
"1985-06-12",8,"pH",6.4
"1985-06-12",10,"pH",6.48
"1985-06-12",15,"pH",5.89
"1985-06-12",19,"pH",5.61
"1985-06-24",0,"pH",6.27
"1985-06-24",6,"pH",6.27
"1985-06-24",8,"pH",6.37
"1985-06-24",8,"pH",6.32
"1985-06-24",10,"pH",6.42
"1985-06-24",15,"pH",5.82
"1985-06-24",19,"pH",5.35
"1985-07-08",0,"pH",6.33
"1985-07-08",5,"pH",6.48
"1985-07-08",8,"pH",6.31
"1985-07-08",8,"pH",6.3
"1985-07-08",12,"pH",5.99
"1985-07-08",15,"pH",5.65
"1985-07-08",19,"pH",5.41
"1985-07-23",0,"pH",6.43
"1985-07-23",5,"pH",6.46
"1985-07-23",8,"pH",6.47
"1985-07-23",8,"pH",6.37
"1985-07-23",12,"pH",6.22
"1985-07-23",15,"pH",5.69
"1985-07-23",19,"pH",5.35
