date,temp_0,temp_0.5,temp_1,temp_1.5,temp_2,temp_2.5,temp_3,temp_3.5,temp_4,temp_4.5,temp_5,temp_5.5,temp_6,temp_6.5
1979-04-02,1.2527635402240884,1.252923670899661,1.2797147298887006,1.995993198016731,2.965673927157586,3.418612031502836,3.5432740578067095,3.6087410405983253,3.6500436065023507,3.664716345255978,3.6679681650704423,3.6966809700890972,3.78539016136912,3.911208568958104
1979-04-03,3.798096095724586,3.798096095724586,3.798096095724586,3.798096095724586,3.798096095724586,3.798096095724586,3.798096095724586,3.798096095724586,3.7980960957329577,3.7980960984060332,3.7980961115328444,3.7981110379263523,3.7986091601105225,3.9142998511113913
1979-04-04,4.518709412520306,4.451828881557452,4.226499457258207,4.07654361897994,3.990443208495597,3.9719352738870572,3.9711523904967576,3.9711523904967576,3.9711523904967576,3.9711523904967576,3.9711523904967576,3.9711523904967576,3.9711523904967576,3.9711523904967576
1979-04-05,4.792477790234749,4.737414230190013,4.550718455149555,4.323922238056468,4.138185010681642,4.011172818958029,3.993538184437986,3.9855863606495103,3.9822097707941406,3.981740542152063,3.981544361866143,3.981544361866143,3.9814873856235606,3.9814584525998384
1979-04-06,4.530875437175592,4.510069366621971,4.4360390106053655,4.368184116963395,4.252071627394027,4.0645859805865925,4.021113976124329,3.9971908579816,3.9868393396932142,3.983886090217987,3.9822670666000453,3.9818302736918394,3.981773490444852,3.981747719555116
1979-04-07,5.514975704283367,5.3826042243505166,4.911593656680141,4.6327812652273614,4.383596940908815,4.12734128586123,4.054627192563265,4.011633493563396,3.9925316798113233,3.986731137346267,3.98334110471363,3.982129812800363,3.9819725540322386,3.9818988414599588
1979-04-08,5.262175223593677,5.222855466188615,5.0823890136428815,4.835662259738236,4.5408572921173675,4.204926305608176,4.095241640714925,4.029318627944927,3.9997564679103013,3.9902734653890026,3.9846684082419683,3.9825213399597534,3.982213842244018,3.982074935982567
1979-04-09,4.17557733332699,4.168769568290001,4.145108855515013,4.099794883140763,4.058645952027815,4.034493189909303,4.02619110866489,4.020326839984274,4.018195000930621,4.017375790682329,4.016892469301763,4.016654202323814,3.9947466222074035,3.9823088546755114
1979-04-10,4.1094233367586765,4.1094233367586765,4.1094233367586765,4.1094233367586765,4.1094233367586765,4.1094233367586765,4.1094233367586765,4.1094233367586765,4.1094233367586765,4.1094233367586765,4.1094233367586765,4.1094233367586765,4.1094233367586765,4.1094233367586765
1979-04-11,4.092447919419562,4.092447919419562,4.092447919419562,4.092447919419562,4.092447919419562,4.092447919419562,4.092447919419562,4.092447919419562,4.092447919419562,4.092447919419562,4.092447919419562,4.092447919419562,4.092447919419562,4.092447919419562
1979-04-12,3.596141504219099,3.596141504219099,3.596141504219099,3.596141504219099,3.596141504219099,3.596141504219099,3.596141504219099,3.596141504219099,3.596141504219099,3.596141504219099,3.596141504219099,3.596141504219099,3.596141504219099,3.596141504219099
1979-04-13,3.249112218193612,3.249112218193612,3.249112218193612,3.249112218193612,3.249112218193612,3.249112218193612,3.249112218193612,3.249112218193612,3.249112218193612,3.249112218193612,3.249112218193612,3.249112218193612,3.249112218193612,3.249112218193612
1979-04-14,3.289455590841941,3.289455590841941,3.289455590841941,3.289455590841941,3.289455590841941,3.289455590841941,3.289455590841941,3.289455590841941,3.289455590841941,3.289455590841941,3.289455590841941,3.289455590841941,3.289455590841941,3.289455590841941
1979-04-15,3.3090482515985937,3.3090482515985937,3.3090482515985937,3.3090482515985937,3.3090482515985937,3.3090482515985937,3.3090482515985937,3.3090482515985937,3.3090482515985937,3.3090482515985937,3.3090482515985937,3.3090482515985937,3.3090482515985937,3.3090482515985937
1979-04-16,3.6412768558314847,3.6412768558314847,3.6412768558314847,3.6412768558314847,3.6412768558314847,3.6412768558314847,3.6412768558314847,3.6412768558314847,3.6412768558314847,3.6412768558314847,3.6412768558314847,3.6412768558314847,3.6412768558314847,3.6412768558314847
1979-04-17,4.001897741043248,4.001897741043248,4.001897741043248,4.001897741043248,4.001897741043248,4.001897741043248,4.001897741043248,4.001897741043248,4.001897741043248,4.001897741043248,4.001897741043248,4.001897741043248,4.001897741043248,4.001897741043248
1979-04-18,4.458408576632805,4.458408576632805,4.458408576632805,4.458408576632805,4.458408576632805,4.458408576632805,4.458408576632805,4.458408576632805,4.458408576632805,4.458408576632805,4.458408576632805,4.458408576632805,4.458408576632805,4.458408576632805
1979-04-19,5.020235240176026,5.020235240176026,5.020235240176026,5.020235240176026,5.020235240176026,5.020235240176026,5.020235240176026,5.020235240176026,5.020235240176026,5.020235240176026,5.020235240176026,5.020235240176026,5.020235240176026,5.020235240176026
1979-04-20,5.566510889262841,5.566510889262841,5.566510889262841,5.566510889262841,5.566510889262841,5.566510889262841,5.566510889262841,5.566510889262841,5.566510889262841,5.566510889262841,5.566510889262841,5.566510889262841,5.566510889262841,5.566510889262841
1979-04-21,6.3181234374107795,6.3181234374107795,6.3181234374107795,6.3181234374107795,6.3181234374107795,6.3181234374107795,6.3181234374107795,6.3181234374107795,6.3181234374107795,6.3181234374107795,6.3181234374107795,6.3181234374107795,6.3181234374107795,6.3181234374107795
1979-04-22,6.912605590082805,6.912605590082805,6.912605590082805,6.912605590082805,6.912605590082805,6.912605590082805,6.912605590082805,6.912605590082805,6.912605590082805,6.912605590082805,6.912605590082805,6.912605590082805,6.912605590082805,6.912605590082805
