inst/extdata//141288680_(Fish) 2003-06-23 19:00:00
inst/extdata//143249470_(Mendota) 2002-11-17 18:00:00
inst/extdata//143249640_(Monona) 2002-11-18 18:00:00
inst/extdata//143249705_(Wingra) 2003-07-20 19:00:00
inst/extdata//69886156_(Allequash) 1994-10-04 19:00:00
inst/extdata//69886228_(Trout) 1994-08-22 19:00:00
inst/extdata//69886284_(Big_Muskellunge) 1994-09-18 19:00:00
inst/extdata//69886444_(Sparkling) 1994-10-02 19:00:00
inst/extdata//69886510_(Crystal) 1995-03-22 18:00:00
inst/extdata//141288680_(Fish) 2003-06-23 19:00:00
inst/extdata//143249640_(Monona) 2002-11-18 18:00:00
inst/extdata//143249640_(Monona) 2002-11-18 18:00:00
inst/extdata//143249640_(Monona) 2002-11-18 18:00:00
inst/extdata//143249640_(Monona) 2002-11-18 18:00:00
inst/extdata//141288680_(Fish) 2003-06-23 19:00:00
inst/extdata//141288680_(Fish) 2003-06-23 19:00:00
inst/extdata//143249470_(Mendota) 2002-11-17 18:00:00
inst/extdata//143249640_(Monona) 2002-11-18 18:00:00
inst/extdata//143249705_(Wingra) 2003-07-20 19:00:00
inst/extdata//69886156_(Allequash) 1994-10-04 19:00:00
inst/extdata//69886228_(Trout) 1994-08-22 19:00:00
inst/extdata//69886284_(Big_Muskellunge) 1994-09-18 19:00:00
inst/extdata//69886444_(Sparkling) 1994-10-02 19:00:00
inst/extdata//69886510_(Crystal) 1995-03-22 18:00:00
14884 2002-11-18 18:00:00
inst/extdata//141288680_(Fish) 2003-06-23 19:00:00
inst/extdata//141288680_(Fish) 2003-06-23 19:00:00
inst/extdata//143249470_(Mendota) 2002-11-17 18:00:00
inst/extdata//143249640_(Monona) 2002-11-18 18:00:00
inst/extdata//141288680_(Fish) 2003-06-23 19:00:00
inst/extdata//143249470_(Mendota) 2002-11-17 18:00:00
inst/extdata//143249640_(Monona) 2002-11-18 18:00:00
inst/extdata//143249705_(Wingra) 2003-07-20 19:00:00
inst/extdata//143249470_(Mendota) 2002-11-17 18:00:00
inst/extdata//143249470_(Mendota) 2002-11-17 18:00:00
inst/extdata//143249470_(Mendota) 2002-11-17 18:00:00
inst/extdata//143249470_(Mendota) 2002-11-17 18:00:00
inst/extdata//143249470_(Mendota) 2002-11-17 18:00:00
inst/extdata//143249470_(Mendota) 2002-11-17 18:00:00
inst/extdata//143249470_(Mendota) 2002-11-17 18:00:00
inst/extdata//143249640_(Monona) 2002-11-18 18:00:00
inst/extdata//141288680_(Fish) 2003-06-23 19:00:00
inst/extdata//141288680_(Fish) 2003-06-23 19:00:00
inst/extdata//141288680_(Fish) 2003-06-23 19:00:00
