time,ShortWave,LongWave,AirTemp,RelHum,WindSpeed,Rain,Snow
1979-01-02,86.13554112116496,157.7641658782959,-22.722916030883766,77.52073179846231,4.48938468684473,0,0
1979-01-03,99.1698767344157,174.3854185740153,-21.11791903177895,80.62037677976714,4.7944180105959076,0,0
1979-01-04,98.15291627248128,171.27166684468588,-18.379166030883766,79.82203018314308,5.274540112880138,0,0
1979-01-05,103.6264157295227,146.48458544413248,-22.6216676076253,81.34374645840181,3.4829084448267977,0,0
1979-01-06,102.7946236928304,146.13166681925455,-22.450418217976864,83.2899417169027,4.476619228844264,0,0
1979-01-07,82.48441664377849,185.12333234151205,-19.20666859944659,82.29225308363692,2.88329311280204,0,0
1979-01-08,94.52962525685628,170.48583475748697,-19.65250180562335,81.97819920233785,4.542970324276644,0,0
1979-01-09,104.606582959493,214.35916455586752,-14.114583079020159,81.28974206518399,5.13221503349613,0,0
1979-01-10,100.35441700617473,161.39999961853027,-20.657498423258442,78.83440462847055,4.25756614431445,0,0.0045149999856948855
1979-01-11,98.75783284505208,154.50541623433432,-22.8808343251546,71.22051672158246,2.366578329954877,0,0
1979-01-12,53.18275046348572,253.16667111714682,-13.735835138956682,85.38933906822601,2.5560969411975307,0,0.03606400012969971
1979-01-13,75.67791716257732,271.6241734822591,-8.827500406901018,88.81550423656587,6.315608412567543,0,0.12195300050079823
1979-01-14,110.69829082489014,175.820831934611,-17.930834197998024,82.18686040165086,7.555997235205834,0,0.047388000197242944
1979-01-15,85.05724922815959,170.32124964396158,-26.77416585286456,80.8332064310222,3.4675165948081594,0,0.0023180000483989716
1979-01-16,89.02529017130534,212.20958264668783,-16.992915217081684,85.11362165703947,2.3116994624662235,0,0.004817000031471252
1979-01-17,111.48108355204265,226.94416681925455,-11.024582926432268,87.46996085991519,4.8560839919879575,0,0.0033830000460147855
1979-01-18,111.9467503229777,171.03374862670898,-18.807916386922177,85.19247872854456,3.184968585372732,0,0
1979-01-19,41.85012420018514,264.3929150899251,-10.362498982747374,90.80261599311245,5.506653149032202,0,0.0829809987428598
1979-01-20,74.12625010808308,285.70458857218426,-4.584998830159482,95.1196050255172,1.879125373311222,0,6.169999914709479e-4
1979-01-21,70.51279179255168,276.1254183451335,-4.638333384195941,91.84245683932953,4.9828529666201575,0,0
1979-01-22,105.07337633768718,216.37250010172525,-9.260418955485003,91.38086050975092,4.102117670755828,0,5.319999903440476e-4
1979-01-23,72.4443751970927,288.3858286539714,-4.524582926432269,91.38742292995909,3.9761266393663837,0,0.091100999340415
1979-01-24,105.24404223759969,241.9224993387858,-9.120417022705055,87.30315455690084,7.751042607049458,0,0.022899000458419323
1979-01-25,120.48316796620686,161.72375043233237,-18.739165369669575,84.81676443906842,5.022518737135694,0,0
1979-01-26,105.59300104777019,215.54458045959473,-14.022083663940407,82.90506880853397,3.2126992125601883,0,0.0020740000158548356
1979-01-27,49.24641625086466,282.6112518310547,-5.388751729329404,92.38417056916941,2.785537845558542,0,0.01651999985333532
1979-01-28,45.92729107538859,287.57125091552734,-4.144584401448545,91.13852357988637,4.658657059692538,0,0.002923999950289726
1979-01-29,83.86175028483073,268.41333262125653,-6.949166361490863,88.17597482139811,4.31601531211691,0,0
1979-01-30,90.11024850110213,258.23916753133136,-9.18208541870115,87.49915534626464,2.9868554710559456,0,0
1979-01-31,78.5356254975001,258.13166491190594,-9.247078959147112,85.55270190634327,4.445464833918424,0,9.380000084638595e-4
1979-02-01,107.36624892552693,241.97875022888184,-10.862084452311175,80.98208249825394,2.9469357173722988,0,0
1979-02-02,79.7061258951823,252.26833279927573,-11.009165191650368,79.49340294657317,1.9423282507348238,0,0
1979-02-03,67.61979150772095,229.97625223795572,-12.304167175292946,80.59747533529459,2.187526162242287,0,0
1979-02-04,131.1679581006368,159.58458201090494,-18.567080561319965,82.1433966161137,6.17637258736641,0,0
1979-02-05,112.80679225921631,158.59124946594238,-26.03958358764646,79.142952418262,3.7985445188865326,0,0
1979-02-06,74.40224885940552,253.1866683959961,-14.939166132609026,82.36154487467624,4.898798343703304,0,0
1979-02-07,132.11525177955627,207.63041750590006,-13.59416554768878,84.71431179015143,4.82332143572984,0,0
1979-02-08,140.93808190027872,151.36375109354654,-22.045833969116188,81.10409489353863,4.623291248293079,0,0
1979-02-09,134.91016562779745,152.4045836130778,-24.006666564941384,80.04917153256608,3.418094479482865,0,0
1979-02-10,112.21708337465923,208.1037483215332,-19.564585749308247,81.10484650668889,3.0584231753070057,0,0.011432000398635865
1979-02-11,85.07945863405864,259.63916905721027,-12.615000152587868,85.17503901308497,3.0510139021896285,0,0.023804000467062
1979-02-12,82.82270860671997,256.0929209391276,-9.264583333333311,86.51233883247927,4.062379229498595,0,0.02628200031816959
1979-02-13,91.76712449391682,251.3441619873047,-11.451664988199846,86.19811015486951,2.4245711931250717,0,0
1979-02-14,125.93279298146565,259.69750086466473,-7.21541824340818,91.5352882794866,3.9431379615521656,0,0.0010400000214576721
1979-02-15,69.16233285268147,281.3133379618327,-6.071667734781879,93.11447131120805,3.9901948904866087,0,0
1979-02-16,125.40004221598308,227.97916666666666,-12.60375061035154,81.67953224697972,5.9335588676532405,0,0
1979-02-17,149.57449944814047,155.7204163869222,-23.853751881917294,80.97556742306466,4.0513294492185965,0,0.0034790000319480895
1979-02-18,126.47141631444295,234.27291615804037,-16.75708427429197,81.74371269277145,4.706764957816944,0,0.0010770000098273159
1979-02-19,151.76837646961212,189.1525001525879,-16.034167989095028,81.4116217622178,3.6617243065681033,0,0.011176000081468372
