date,temp_0,temp_0.5,temp_1,temp_1.5,temp_2,temp_2.5,temp_3,temp_3.5,temp_4,temp_4.5,temp_5,temp_5.5,temp_6,temp_6.5
1979-04-02,2.4121580311233566,2.4121580311233566,2.4121580311233566,2.4121580311233566,2.4121580313625883,2.412158278597622,2.4121599990803415,2.4122079835161117,2.412732398441103,2.414048281857276,2.4572702026261033,2.6179977839947757,2.763641589839678,2.847614104265058
1979-04-03,1.3923145975962814,1.3930950410511966,1.3966994242629287,1.4025066107757989,1.4038506494661043,1.4038506494661043,1.4038506494661043,1.4038506494661043,1.4038506494661043,1.4038506494661043,1.4038506494661043,1.404373072194439,1.4054299510618276,1.405438285740577
1979-04-04,1.858949102214976,1.858949102214976,1.858949102214976,1.858949102214976,1.858949102214976,1.858949102214976,1.858949102214976,1.858949102214976,1.858949102214976,1.858949102214976,1.858949102214976,1.858949102214976,1.858949102214976,1.858949102214976
1979-04-05,2.565618060186131,2.565618060186131,2.565618060186131,2.565618060186131,2.565618060186131,2.565618060186131,2.565618060186131,2.565618060186131,2.565618060186131,2.565618060186131,2.565618060186131,2.565618060186131,2.565618060186131,2.565618060186131
1979-04-06,3.212796617477813,3.212796617477813,3.212796617477813,3.212796617477813,3.212796617477813,3.212796617477813,3.212796617477813,3.212796617477813,3.212796617477813,3.212796617477813,3.212796617477813,3.212796617477813,3.212796617477813,3.212796617477813
1979-04-07,3.091278887765001,3.091278887765001,3.091278887765001,3.091278887765001,3.091278887765001,3.091278887765001,3.091278887765001,3.091278887765001,3.091278887765001,3.091278887765001,3.091278887765001,3.091278887765001,3.091278887765001,3.091278887765001
1979-04-08,2.425114012015343,2.425114012015343,2.425114012015343,2.425114012015343,2.425114012015343,2.425114012015343,2.425114012015343,2.425114012015343,2.425114012015343,2.425114012015343,2.425114012015343,2.425114012015343,2.425114012015343,2.425114012015343
1979-04-09,2.519422785167426,2.519422785167426,2.519422785167426,2.519422785167426,2.519422785167426,2.519422785167426,2.519422785167426,2.519422785167426,2.519422785167426,2.519422785167426,2.519422785167426,2.519422785167426,2.519422785167426,2.519422785167426
1979-04-10,2.7785283684961253,2.7785283684961253,2.7785283684961253,2.7785283684961253,2.7785283684961253,2.7785283684961253,2.7785283684961253,2.7785283684961253,2.7785283684961253,2.7785283684961253,2.7785283684961253,2.7785283684961253,2.7785283684961253,2.7785283684961253
1979-04-11,3.051122248385354,3.051122248385354,3.051122248385354,3.051122248385354,3.051122248385354,3.051122248385354,3.051122248385354,3.051122248385354,3.051122248385354,3.051122248385354,3.051122248385354,3.051122248385354,3.051122248385354,3.051122248385354
1979-04-12,3.202353671804863,3.202353671804863,3.202353671804863,3.202353671804863,3.202353671804863,3.202353671804863,3.202353671804863,3.202353671804863,3.202353671804863,3.202353671804863,3.202353671804863,3.202353671804863,3.202353671804863,3.202353671804863
1979-04-13,4.09850775657918,4.09850775657918,4.09850775657918,4.09850775657918,4.09850775657918,4.09850775657918,4.09850775657918,4.09850775657918,4.09850775657918,4.09850775657918,4.09850775657918,4.09850775657918,4.09850775657918,4.09850775657918
1979-04-14,5.430563604805825,5.430563604805825,5.430563604805825,5.430563604805825,5.430563604805825,5.430563604805825,5.430563604805825,5.430563604805825,5.430563604805825,5.430563604805825,5.430563604805825,5.430563604805825,5.430563604805825,5.430563604805825
1979-04-15,6.131803350235437,6.131803350235437,6.131803350235437,6.131803350235437,6.131803350235437,6.131803350235437,6.131803350235437,6.131803350235437,6.131803350235437,6.131803350235437,6.131803350235437,6.131803350235437,6.131803350235437,6.131803350235437
1979-04-16,6.665925388129058,6.665925388129058,6.665925388129058,6.665925388129058,6.665925388129058,6.665925388129058,6.665925388129058,6.665925388129058,6.665925388129058,6.665925388129058,6.665925388129058,6.665925388129058,6.665925388129058,6.665925388129058
1979-04-17,7.372268706794407,7.372268706794407,7.372268706794407,7.372268706794407,7.372268706794407,7.372268706794407,7.372268706794407,7.372268706794407,7.372268706794407,7.372268706794407,7.372268706794407,7.372268706794407,7.372268706794407,7.372268706794407
1979-04-18,8.86591767928249,8.86590476988156,8.86585394701649,8.863689341620473,8.804943571804818,8.569451297913487,8.001612589379494,7.65500046366238,7.576581572983526,7.564938364469777,7.562310845646286,7.561478033966402,7.561271382869702,7.561210116400032
1979-04-19,9.42306521819388,9.423060391109823,9.423016422229578,9.422610558920251,9.406787619727034,9.015892730198914,8.846152524815983,8.421668229805942,8.202910187421935,8.185844714716925,8.183270804497615,8.182431118248905,8.18221957965932,8.18215468389125
1979-04-20,9.090348017007198,9.090348017007198,9.090348017007198,9.090348017007198,9.090348017007198,9.090348017007198,9.090348017007198,9.090348017007198,9.090348017007198,9.090348017007198,9.090348017007198,9.090348017007198,9.090348017007198,9.090348017007198
1979-04-21,9.683990771787236,9.683990771787236,9.683990771787236,9.683990771787236,9.683990771787236,9.683990771787236,9.683990771787236,9.683990771787236,9.683990771787236,9.683990771787236,9.683990771787236,9.683990771787236,9.683990771787236,9.683990771787236
1979-04-22,10.748122225266096,10.748122225266096,10.748122225266096,10.748122225266096,10.748122225266096,10.748122225266096,10.748122225266096,10.748122225266096,10.748122225266096,10.748122225266096,10.748122225266096,10.748122225266096,10.748122225266096,10.748122225266096
1979-04-23,12.090428803765157,12.09042880347817,12.090428802519442,12.09042544879012,12.09037219868912,12.090079184743635,12.087988164063136,12.007540091688645,11.612974853660036,11.28642552662566,11.100515394304706,11.048112426585925,11.041175981441775,11.040478848672956
