date,temp_0,temp_0.5,temp_1,temp_1.5,temp_2,temp_2.5,temp_3,temp_3.5,temp_4
1979-04-02,0.48768055182493797,0.48771643753916916,0.560951026803886,0.9783833422211095,1.9740834628128516,2.645580903879679,2.8823462108937807,3.052259545171728,3.139460508956021
1979-04-03,3.031936480849832,3.031936480849832,3.031936480849832,3.0319364817585703,3.0319401173116893,3.0319401173116893,3.0319401173116893,3.1030659165059706,3.2812107059344746
1979-04-04,2.8241395954983877,3.2323779768215677,3.2323779768215677,3.2323779768215677,3.2323779768215677,3.2323779768215677,3.2323779768215677,3.2323779768215677,3.5729188209899916
1979-04-05,2.8122788321533516,3.5080962426438616,3.5080962426438616,3.5080962426438616,3.5080962426438616,3.5080962426438616,3.5080962426438616,3.5080962426438616,3.9129494246031027
1979-04-06,3.34667837510966,3.8032914621387475,3.8032914621387475,3.8032914621387475,3.8032914621387475,3.8032914621387475,3.8032914621387475,3.8032914621387475,3.8149878451693686
1979-04-07,4.643881047717055,4.2060690623897505,4.0726960708476785,4.0562419638015115,4.0445703455062505,4.033246031012865,4.033246031012865,4.033246031012865,4.033246031012865
1979-04-08,4.542455042684494,4.281827944896183,4.230332865203177,4.206019807703642,4.1854605345200095,4.1727499321903325,4.1727499321903325,4.1727499321903325,4.1727499321903325
1979-04-09,3.46822500456854,4.196753048827902,4.1655005238569425,4.143958679114233,4.12649716303944,4.11545024119534,4.11545024119534,4.11545024119534,4.11545024119534
1979-04-10,3.5848021805856733,3.5848021805856733,3.5848021805856733,3.5848021805856733,3.5848021805856733,3.5848021805856733,3.5848021805856733,3.5848021805856733,3.5848021805856733
1979-04-11,3.4084325105648015,3.4084325105648015,3.4084325105648015,3.4084325105648015,3.4084325105648015,3.4084325105648015,3.4084325105648015,3.4084325105648015,3.4084325105648015
1979-04-12,3.2030915597605634,3.2030915597605634,3.2030915597605634,3.2030915597605634,3.2030915597605634,3.2030915597605634,3.2030915597605634,3.2030915597605634,3.2030915597605634
1979-04-13,3.252795841956437,3.252795841956437,3.252795841956437,3.252795841956437,3.252795841956437,3.252795841956437,3.252795841956437,3.252795841956437,3.252795841956437
1979-04-14,3.481568942501028,3.481568942501028,3.481568942501028,3.481568942501028,3.481568942501028,3.481568942501028,3.481568942501028,3.481568942501028,3.481568942501028
1979-04-15,3.9683371322326844,3.9683371322326844,3.9683371322326844,3.9683371322326844,3.9683371322326844,3.9683371322326844,3.9683371322326844,3.9683371322326844,3.9683371322326844
1979-04-16,4.52981624694785,4.52981624694785,4.52981624694785,4.52981624694785,4.52981624694785,4.52981624694785,4.52981624694785,4.52981624694785,4.52981624694785
1979-04-17,5.2208215600269945,5.220821320715063,5.220775404391661,5.2207066594485765,5.212593399557187,5.160037821541431,5.140431187391538,5.082091837787284,5.027149374871667
1979-04-18,6.122616047666152,6.122616047666152,6.122616047666152,6.122616047666152,6.122616047666152,6.122616047666152,6.122616047666152,6.122616047666152,6.122616047666152
1979-04-19,7.465744712458465,7.465744712458465,7.465744712458465,7.465744712458465,7.465744712458465,7.465744712458465,7.465744712458465,7.465744712458465,7.465744712458465
1979-04-20,8.805339159330604,8.805339159330604,8.805339159330604,8.805339159330604,8.805339159330604,8.805339159330604,8.805339159330604,8.805339159330604,8.805339159330604
1979-04-21,9.959993717539419,9.959993717539419,9.959993717539419,9.959993717539419,9.959993717539419,9.959993717539419,9.959993717539419,9.959993717539419,9.959993717539419
1979-04-22,10.28364268764415,10.28364268764415,10.28364268764415,10.28364268764415,10.28364268764415,10.28364268764415,10.28364268764415,10.28364268764415,10.28364268764415
1979-04-23,10.360491940846916,10.36049194038065,10.360490626845477,10.360362380184586,10.356099233238155,10.282610631445197,10.222343590727178,10.033574972619581,9.789533367069227
1979-04-24,10.821365539763601,10.821365539763601,10.821365490135996,10.82135252065438,10.821334115441195,10.820249674969372,10.780744870463263,10.60258143301132,10.444238682581513
1979-04-25,11.511129017736126,11.511129017736126,11.511129017736126,11.511129017736126,11.511129017736126,11.511129017736126,11.511129017736126,11.511129017736126,11.511129017736126
1979-04-26,11.33310924723748,11.33310924723748,11.33310924723748,11.33310924723748,11.33310924723748,11.33310924723748,11.33310924723748,11.33310924723748,11.33310924723748
1979-04-27,10.123155832905493,10.123155832905493,10.123155832905493,10.123155832905493,10.123155832905493,10.123155832905493,10.123155832905493,10.123155832905493,10.123155832905493
1979-04-28,9.200544081272543,9.200544081272543,9.200544081272543,9.200544081272543,9.200544081272543,9.200544081272543,9.200544081272543,9.200544081272543,9.200544081272543
1979-04-29,8.78431125158848,8.784162086178913,8.777504795167896,8.7138605962965,8.611125602052336,8.580724829710011,8.580724829710011,8.580724829710011,8.580724829710011
1979-04-30,8.148721979436207,8.148721979342683,8.148721700374274,8.148701222783558,8.14845384173686,8.143359649123111,8.124582506955393,8.06276476323435,8.01466681647203
1979-05-01,7.600029129600519,7.600029129600519,7.600029129600519,7.600029129600519,7.600029129600519,7.600029129600519,7.600029129600519,7.600029129600519,7.600029129600519
1979-05-02,7.410838714742552,7.410838714742552,7.410838714742552,7.410838714742552,7.410838714742552,7.410838714742552,7.410838714742552,7.410838714742552,7.410838714742552
1979-05-03,7.8479728233358585,7.8479728233358585,7.8479728233358585,7.8479728233358585,7.8479728233358585,7.8479728233358585,7.8479728233358585,7.8479728233358585,7.8479728233358585
1979-05-04,7.873518953243063,7.873518953243063,7.873518953243063,7.873518953243063,7.873518953243063,7.873518953243063,7.873518953243063,7.873518953243063,7.873518953243063
